รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
0515847,ร.ล.มันใน,มว.เรือที่ 2,กยพ.กร.
0515848,ร.ล.มัตโพน,มว.เรือที่ 2,กยพ.กร.
0515849,ร.ล.ราวี,มว.เรือที่ 2,กยพ.กร.
051585,หมวดเรือที่ 3,มว.เรือที่ 3,กยพ.กร.
0515851,ร.ล.สิมิลัน,มว.เรือที่ 3,กยพ.กร.
0515852,ร.ล.จุฬา,มว.เรือที่ 3,กยพ.กร.
0515853,ร.ล.สมุย,มว.เรือที่ 3,กยพ.กร.
0515854,ร.ล.ปรง,มว.เรือที่ 3,กยพ.กร.
0515855,ร.ล.เปริด,มว.เรือที่ 3,กยพ.กร.
0515856,ร.ล.เสม็ด,มว.เรือที่ 3,กยพ.กร.
0515857,ร.ล.จวง,มว.เรือที่ 3,กยพ.กร.
0515858,ร.ล.จิก,มว.เรือที่ 3,กยพ.กร.
0515859,ร.ล.กลึงบาดาล,มว.เรือที่ 3,กยพ.กร.
05158510,ร.ล.มารวิชัย,มว.เรือที่ 3,กยพ.กร.
05158511,ร.ล.รื้น,มว.เรือที่ 3,กยพ.กร.
05158512,ร.ล.รัง,มว.เรือที่ 3,กยพ.กร.
05158513,ร.ล.แสมสาร,มว.เรือที่ 3,กยพ.กร.
05158514,ร.ล.แรด,มว.เรือที่ 3,กยพ.กร.
05158515,ร.ล.มาตรา,มว.เรือที่ 3,กยพ.กร.
05158516,ร.ล.ปันหยี,มว.เรือที่ 3,กยพ.กร.
05158517,ร.ล.หลีเป๊ะ,มว.เรือที่ 3,กยพ.กร.
05159,กองเรือยามฝั่ง,กยฝ.,กร.
051591,กองบัญชาการ,บก.,กยฝ.กร.
051592,กองร้อยกองบัญชาการ,ร้อย บก.,กยฝ.กร.
051593,หมวดเรือที่ 1,มว.เรือที่ 1,กยฝ.กร.
0515931,เรือ ต.991,มว.เรือที่ 1,กยฝ.กร.
0515932,เรือ ต.992,มว.เรือที่ 1,กยฝ.กร.
0515933,เรือ ต.993,มว.เรือที่ 1,กยฝ.กร.
0515934,เรือ ต.994,มว.เรือที่ 1,กยฝ.กร.
0515935,เรือ ต.995,มว.เรือที่ 1,กยฝ.กร.
0515936,เรือ ต.996,มว.เรือที่ 1,กยฝ.กร.
0515937,เรือ ต.111,มว.เรือที่ 1,กยฝ.กร.
0515938,เรือ ต.112,มว.เรือที่ 1,กยฝ.กร.
0515939,เรือ ต.113,มว.เรือที่ 1,กยฝ.กร.
05159310,เรือ ต.114,มว.เรือที่ 1,กยฝ.กร.
05159311,เรือ ต.115,มว.เรือที่ 1,กยฝ.กร.
051594,หมวดเรือที่ 2,มว.เรือที่ 2,กยฝ.กร.
0515941,เรือ ต.98,มว.เรือที่ 2,กยฝ.กร.
0515942,เรือ ต.99,มว.เรือที่ 2,กยฝ.กร.
0515943,เรือ ต.81,มว.เรือที่ 2,กยฝ.กร.
0515944,เรือ ต.82,มว.เรือที่ 2,กยฝ.กร.
0515945,เรือ ต.83,มว.เรือที่ 2,กยฝ.กร.
051595,หมวดเรือที่ 3,มว.เรือที่ 3,กยฝ.กร.
0515951,เรือ ต.227,มว.เรือที่ 3,กยฝ.กร.
0515952,เรือ ต.228,มว.เรือที่ 3,กยฝ.กร.
0515953,เรือ ต.229,มว.เรือที่ 3,กยฝ.กร.
0515954,เรือ ต.230,มว.เรือที่ 3,กยฝ.กร.
0515955,เรือ ต.232,มว.เรือที่ 3,กยฝ.กร.
0515956,เรือ ต.233,มว.เรือที่ 3,กยฝ.กร.
0515957,เรือ ต.234,มว.เรือที่ 3,กยฝ.กร.
0515958,เรือ ต.235,มว.เรือที่ 3,กยฝ.กร.
0515959,เรือ ต.236,มว.เรือที่ 3,กยฝ.กร.
05159510,เรือ ต.237,มว.เรือที่ 3,กยฝ.กร.
05159511,เรือ ต.261,มว.เรือที่ 3,กยฝ.กร.
05159512,เรือ ต.262,มว.เรือที่ 3,กยฝ.กร.
05159513,เรือ ต.263,มว.เรือที่ 3,กยฝ.กร.
05159514,เรือ ต.264,มว.เรือที่ 3,กยฝ.กร.
05159515,เรือ ต.265,มว.เรือที่ 3,กยฝ.กร.
05159516,เรือ ต.266,มว.เรือที่ 3,กยฝ.กร.
05159517,เรือ ต.267,มว.เรือที่ 3,กยฝ.กร.
05159518,เรือ ต.268,มว.เรือที่ 3,กยฝ.กร.
05159519,เรือ ต.269,มว.เรือที่ 3,กยฝ.กร.
05159520,เรือ ต.270,มว.เรือที่ 3,กยฝ.กร.
05159521,เรือ ต.271,มว.เรือที่ 3,กยฝ.กร.
05159522,เรือ ต.272,มว.เรือที่ 3,กยฝ.กร.
05159523,เรือ ต.273,มว.เรือที่ 3,กยฝ.กร.
05159524,เรือ ต.274,มว.เรือที่ 3,กยฝ.กร.
051510,กองเรือลำน้ำ,กลน.,กร.
0515101,กองบัญชาการ,บก.,กลน.กร.
0515102,กองร้อยกองบัญชาการ,ร้อย.บก.,กลน.กร.
0515103,หมวดเรือที่ 1,มว.เรือที่ 1,กลน.กร.
0515104,หมวดเรือที่ 2,มว.เรือที่ 2,กลน.กร.
0515105,หมวดเรือที่ 3,มว.เรือที่ 3,กลน.กร.
051511,กองการบินทหารเรือ,กบร.,กร.
0515111,กองบัญชาการ,บก.,กบร.กร.
0515112,กองบิน 1,กบร.กร.,Null
0515113,กองบิน 2,กบร.กร.,Null
0515114,กองควบคุมการปฏิบัติการทางอากาศ,กคปอ.,กบร.กร.
0515115,สถานีการบิน,สนบ.,กบร.กร.
0515116,ศูนย์ซ่อมอากาศยาน,ศซอ.,กบร.กร.
051512,หน่วยบัญชาการสงครามพิเศษทางเรือ,นสร.,กร.
0515121,กองบัญชาการ,บก.,นสร.กร.
0515122,กองร้อยกองบัญชาการ,ร้อย บก.,นสร.กร.
0515123,กรมรบพิเศษ,กรม รพศ.,นสร.กร.
05151231,กองรบพิเศษที่ 1,รพศ.1,กรม รพศ. นสร.กร.
05151232,กองรบพิเศษที่ 2,รพศ.2,กรม รพศ. นสร.กร.
05151233,กองรบพิเศษที่ 3,รพศ.3,กรม รพศ. นสร.กร.
05151234,กองส่งกำลังปฏิบัติการพิเศษ กรม รพศ. นสร.กร.,Null,Null
05151235,กองรบพิเศษที่ 4,รพศ.4,กรม รพศ. นสร.กร.
05151236,กองรบพิเศษที่ 5,รพศ.5,กรม รพศ. นสร.กร.
05151237,กองรบพิเศษที่ 6,รพศ.6,กรม รพศ. นสร.กร.
0515124,ศูนย์การฝึกสงครามพิเศษทางเรือ,ศฝ.สร.,นสร.กร.
0515125,กองสนับสนุน,กอง สน.,นสร.กร.
051513,กองการฝึกกองเรือยุทธการ,กฝร.,Null
0515131,กองบัญชาการ,บก.,กฝร.
0515132,กองการปกครอง,กปค.,กฝร.
0515133,กองพัฒนาและประเมินผลการฝึก,กพป.,กฝร.
0515134,กองฝึกเดินเรือและการเรือ,กฝด.,กฝร.
0515135,กองฝึกปฏิบัติการทางเรือ,กฝป.,กฝร.
0515136,กองฝึกการอาวุธ,กฝอ.,กฝร.
0515137,กองฝึกศูนย์ยุทธการและสื่อสาร,กฝย.,กฝร.
0515138,กองฝึกการช่างกลและป้องกันความเสียหาย,กฝล.,กฝร.
0515139,กองสนับสนุน,กอง สน.,กฝร.
051514,กองสนับสนุน,กอง สน.,กร.
0516,ทัพเรือภาคที่ 1,ทรภ.1,Null
05161,กองบัญชาการ,บก.,ทรภ.1
